variant,model,selected_gamma,selected_train_oof_mae,base_train_oof_mae,MAE,RMSE,R2,MedianAbsError,P90AbsError,P95AbsError,W30,W60,MeanError_pred_minus_actual,UnderestimationRate,OverestimationRate,N,gain_vs_base,gain_vs_base_CI95,MAE_CI95,delta_vs_31_794666,delta_vs_32_028831,meta_json
pls_hs_raw_word160_26_basic,sgd_huber,1.35,32.778334691350786,32.966712482938256,31.825359550491616,46.998212053421874,0.7546631115681868,21.4763980756738,68.84265941009306,91.9211800066202,0.6185276505811905,0.8626276858048608,-1.9232989908321156,0.47411060232476226,0.5258893976752378,2839,0.4142763241716235,"[0.2897470581658728, 0.535526723942776]","[30.63695454751065, 33.18241013866677]",0.03069355049161615,-0.20347144950838114,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.7915397237919}"
pls_hs_word160_22_delta,sgd_huber,1.5750000000000002,32.80895140274755,32.966712482938256,31.82582761810406,47.0602419406895,0.7540150757542103,21.448760693232657,69.41188088653121,92.28383222081793,0.6202888340965128,0.8605142655864741,-2.3160929658644682,0.476224022543149,0.523775977456851,2839,0.4138082565591822,"[0.30243076772801336, 0.5514573255225468]","[30.715009735123267, 33.14159363188845]",0.03116161810406126,-0.20300338189593603,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.83117220933125}"
pls_hs_raw_word160_32_basic,sgd_huber,1.25,32.780905791307376,32.966712482938256,31.82590316350999,46.934928497267364,0.7553233638315284,21.70303387066562,69.13300209986663,91.28364739200313,0.6220500176118352,0.8633321592109898,-1.5370308863442974,0.46530468474815073,0.5346953152518492,2839,0.4137327111532479,"[0.29100845355548643, 0.5627330867612755]","[30.366932114187172, 33.106002220582425]",0.031237163509992172,-0.20292783649000512,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.7888008335759}"
pls_hs_word160_20_delta,sgd_huber,1.6,32.799842630366804,32.966712482938256,31.826386334728046,47.05747935596508,0.7540439550892988,21.41053899506707,69.5741021705867,92.5788762785992,0.6202888340965128,0.8594575554772808,-2.3064481171362594,0.47657625924621344,0.5234237407537865,2839,0.41324953993519375,"[0.28943254300347, 0.5250218102924061]","[30.733043775201924, 32.93545632093058]",0.03172033472804614,-0.20244466527195115,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.82786927770078}"
cca_hs_word160_24_basic,huber,0.7000000000000001,32.80050506207932,32.966712482938256,31.82727836113452,46.96262999111986,0.7550344570941996,21.512838678867865,69.39112170818933,92.87355549846343,0.618879887284255,0.8608665022895385,-0.9087813624158603,0.46107784431137727,0.5389221556886228,2839,0.41235751352872235,"[0.28236620713792526, 0.5333158144729443]","[30.590440974184713, 33.15546951569999]",0.032612361134521706,-0.2015526388654756,"{""model"": ""huber"", ""residual_oof_mae"": 32.8348936777161}"
pls_hs_word160_28_basic,sgd_huber,1.3,32.79989196825616,32.966712482938256,31.830078425439886,46.972500311588966,0.7549314755319924,21.685764480326014,69.03415903609603,92.28983684723103,0.6160619936597393,0.8615709756956675,-1.7632374024076176,0.4709404719971821,0.5290595280028179,2839,0.4095574492233558,"[0.2877801466567545, 0.5291058089963387]","[30.622650217681688, 33.14662399338671]",0.035412425439886874,-0.19875257456011042,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80897434851915}"
pls_hs_word160_32_basic,sgd_huber,1.2750000000000001,32.79323082433095,32.966712482938256,31.830551997183598,46.943141377184595,0.7552377271549082,21.814635874487593,69.3270665337697,91.8545288352744,0.6167664670658682,0.8626276858048608,-1.7229800806771376,0.4709404719971821,0.5290595280028179,2839,0.4090838774796437,"[0.2648358613138099, 0.540398074494495]","[30.59399250261521, 33.154514067729906]",0.035885997183598306,-0.19827900281639899,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80165847019243}"
pls_hs_word160_28_geom,sgd_huber,1.1500000000000001,32.80500772873607,32.966712482938256,31.83106205815062,46.96726816963555,0.7549860675544542,21.44867812983688,69.1556788897067,92.5056546735167,0.6171187037689327,0.8605142655864741,-1.6044784283348559,0.4709404719971821,0.5290595280028179,2839,0.40857381651262287,"[0.2981879032089869, 0.5453063453914598]","[30.483288216434282, 32.98040511900562]",0.03639605815062197,-0.19776894184937532,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80714595362141}"
pls_hs_word160_24_delta,sgd_huber,1.5,32.81570829199532,32.966712482938256,31.832818700827428,47.05761160693735,0.7540425726110092,21.500497601083794,69.58966000323686,92.34735523705855,0.6195843606903839,0.8608665022895385,-2.2265436692282297,0.47587178584008455,0.5241282141599155,2839,0.40681717383581206,"[0.27467474834605715, 0.5136602949921268]","[30.580603439735363, 33.00154236347565]",0.038152700827428276,-0.19601229917256902,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.83400781542437}"
pls_hs_raw_word160_18_geom,sgd_huber,1.35,32.75688705063586,32.966712482938256,31.832838466915238,47.02507752124222,0.7543825488055923,21.33818163072044,68.9889068332015,92.58013608229629,0.6167664670658682,0.8622754491017964,-2.295641751276269,0.4779852060584713,0.5220147939415287,2839,0.4067974077480016,"[0.26743268881936666, 0.5294392822987781]","[30.540345372816855, 33.09269972319159]",0.038172466915238346,-0.19599253308475895,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.77134515238157}"
